"talk_id","title","speaker_1","first occupation","second occupation","recorded_date","published_date","event","native_lang","url.x","num_speakers","num_lang","comments","duration_ted","languages","num_speaker","view_ted","view_yt","categories","duration_yt","dislike_count","like_count","average_rating"
1,"Averting the climate crisis","Al Gore","climate advocate",NA,2006-02-25,2006-06-27,"TED2006","en","https://www.ted.com/talks/al_gore_averting_the_climate_crisis/",1,43,265,977,43,1,3200520,162022,"Nonprofits & Activism",1017,184,588,4.04663228989
92,"The best stats you've ever seen","Hans Rosling","global health expert; data visionary",NA,2006-02-22,2006-06-27,"TED2006","en","https://www.ted.com/talks/hans_rosling_the_best_stats_you_ve_ever_seen/",1,49,593,1190,48,1,12005869,1192098,"Science & Technology",1236,197,6908,4.88909196854
7,"Simplicity sells","David Pogue","technology columnist",NA,2006-02-24,2006-06-27,"TED2006","en","https://www.ted.com/talks/david_pogue_simplicity_sells/",1,26,124,1286,26,1,1636292,79874,"Science & Technology",1326,46,549,4.69075632095
53,"Greening the ghetto","Majora Carter","activist for environmental justice",NA,2006-02-26,2006-06-27,"TED2006","en","https://www.ted.com/talks/majora_carter_greening_the_ghetto/",1,35,200,1116,35,1,1697550,130532,"Nonprofits & Activism",1156,36,995,4.86032962799
66,"Do schools kill creativity?","Sir Ken Robinson","author","educator",2006-02-25,2006-06-27,"TED2006","en","https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity/",1,62,4553,1164,60,1,47227110,13838924,"Education",1203,1986,133506,4.9413690567
86,"Letting go of God","Julia Sweeney","actor","comedian",2006-02-24,2006-07-10,"TED2006","en","https://www.ted.com/talks/julia_sweeney_letting_go_of_god/",1,31,919,992,31,1,3769987,448541,"Comedy",1038,430,4343,4.63963985443
71,"A life of purpose","Rick Warren","pastor","author",2006-02-25,2006-07-18,"TED2006","en","https://www.ted.com/talks/rick_warren_a_life_of_purpose/",1,31,900,1262,31,1,3095993,605052,"Education",1308,1168,4498,4.1754322052
58,"My wish: Help me stop pandemics","Larry Brilliant","epidemiologist","philanthropist",2006-02-23,2006-07-25,"TED2006","en","https://www.ted.com/talks/larry_brilliant_my_wish_help_me_stop_pandemics/",1,26,71,1550,24,1,693341,35049,"Nonprofits & Activism",1596,8,180,4.82978725433
54,"My wish: A call for open-source architecture","Cameron Sinclair","co-founder","architecture for humanity",2006-02-26,2006-07-25,"TED2006","en","https://www.ted.com/talks/cameron_sinclair_my_wish_a_call_for_open_source_architecture/",1,27,79,1414,27,1,1211416,76377,"News & Politics",1454,12,437,4.89309597015
41,"One Laptop per Child","Nicholas Negroponte","tech visionary",NA,2006-02-23,2006-08-01,"TED2006","en","https://www.ted.com/talks/nicholas_negroponte_one_laptop_per_child/",1,26,99,1057,25,1,358304,40460,"Science & Technology",993,12,204,4.77777767181
46,"Improvising on piano, aged 14","Jennifer Lin","pianist","composer",2004-02-26,2006-08-08,"TED2004","en","https://www.ted.com/talks/jennifer_lin_improvising_on_piano_aged_14/",1,32,305,1445,32,1,1628912,73891,"Music",1491,21,488,4.83497047424
45,"An 11-year-old's magical violin","Sirena Huang","violinist",NA,2006-02-23,2006-08-08,"TED2006","en","https://www.ted.com/talks/sirena_huang_an_11_year_old_s_magical_violin/",1,32,325,1481,31,1,2702470,514182,"Music",1527,147,3785,4.8504576683
2,"Simple designs to save a life","Amy Smith","inventor","engineer",2006-02-24,2006-08-15,"TED2006","en","https://www.ted.com/talks/amy_smith_simple_designs_to_save_a_life/",1,27,88,906,27,1,1415724,31492,"Science & Technology",946,4,140,4.88888883591
87,"Nerdcore comedy","Ze Frank","web humorist",NA,2004-02-24,2006-08-25,"TED2004","en","https://www.ted.com/talks/ze_frank_nerdcore_comedy/",1,27,185,1136,26,1,6141440,1240216,"Entertainment",1182,325,8648,4.85512113571
16,"Why we love, why we cheat","Helen Fisher","anthropologist","expert on love",2006-02-24,2006-09-06,"TED2006","en","https://www.ted.com/talks/helen_fisher_why_we_love_why_we_cheat/",1,35,556,1407,33,1,9260764,1004314,"Science & Technology",1453,390,6109,4.75996303558
64,"Happiness in body and soul","Eve Ensler","playwright","activist",2004-02-04,2006-09-06,"TED2004","en","https://www.ted.com/talks/eve_ensler_happiness_in_body_and_soul/",1,25,117,1225,23,1,1131864,79093,"Entertainment",1272,50,481,4.62335205078
98,"Why the universe seems so strange","Richard Dawkins","evolutionary biologist",NA,2005-07-07,2006-09-12,"TEDGlobal 2005","en","https://www.ted.com/talks/richard_dawkins_why_the_universe_seems_so_strange/",1,37,507,1316,36,1,2885999,1340140,"Science & Technology",1362,541,14076,4.85195302963
47,"Chemical scum that dream of distant quasars","David Deutsch","physicist","author",2005-07-14,2006-09-12,"TEDGlobal 2005","en","https://www.ted.com/talks/david_deutsch_chemical_scum_that_dream_of_distant_quasars/",1,29,184,1140,29,1,1096862,108187,"Science & Technology",1186,31,1085,4.88888883591
20,"Choice, happiness and spaghetti sauce","Malcolm Gladwell","writer",NA,2004-02-26,2006-09-19,"TED2004","en","https://www.ted.com/talks/malcolm_gladwell_choice_happiness_and_spaghetti_sauce/",1,37,355,1050,37,1,7023562,1195574,"Science & Technology",1096,191,6633,4.88804197311
93,"The paradox of choice","Barry Schwartz","psychologist",NA,2005-07-15,2006-09-26,"TEDGlobal 2005","en","https://www.ted.com/talks/barry_schwartz_the_paradox_of_choice/",1,45,991,1177,45,1,10000702,2329033,"News & Politics",1223,1056,22314,4.81925535202
39,"A roadmap to end aging","Aubrey de Grey","crusader against aging",NA,2005-07-14,2006-10-02,"TEDGlobal 2005","en","https://www.ted.com/talks/aubrey_de_grey_a_roadmap_to_end_aging/",1,30,612,1365,29,1,3277740,592999,"Science & Technology",1411,224,3547,4.76239728928
91,"Invest in Africa's own solutions","Jacqueline Novogratz","investor and advocate for moral leadership",NA,2005-07-01,2006-10-10,"TEDGlobal 2005","en","https://www.ted.com/talks/jacqueline_novogratz_invest_in_africa_s_own_solutions/",1,27,58,773,26,1,705389,18310,"Nonprofits & Activism",818,9,87,4.625
79,"How mobile phones can fight poverty","Iqbal Quadir","founder","grameenphone",2005-07-13,2006-10-10,"TEDGlobal 2005","en","https://www.ted.com/talks/iqbal_quadir_how_mobile_phones_can_fight_poverty/",1,22,74,952,21,1,503517,27646,"Science & Technology",998,9,140,4.75838947296
3,"How to rebuild a broken state","Ashraf Ghani","president-elect of afghanistan",NA,2005-07-12,2006-10-18,"TEDGlobal 2005","en","https://www.ted.com/talks/ashraf_ghani_how_to_rebuild_a_broken_state/",1,25,67,1125,24,1,809226,70142,"News & Politics",1165,38,433,4.67728233337
75,"Why we should invest in a free press","Sasa Vucinic","nonprofit venture capitalist",NA,2005-07-14,2006-10-18,"TEDGlobal 2005","en","https://www.ted.com/talks/sasa_vucinic_why_we_should_invest_in_a_free_press/",1,22,43,1080,21,1,580891,17538,"News & Politics",1126,7,66,4.61643838882
